Individual/Business name,Address,Economic activity,Year
"Hogan, Mrs Nellie","? Albert Sq, Melbourne, Australia",[no data],1903
1st of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1904
2nd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1904
3rd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1904
4th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1904
5th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1904
6th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1904
1st of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1905
2nd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1905
3rd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1905
4th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1905
5th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1905
6th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1905
1st of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1906
2nd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1906
3rd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1906
4th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1906
5th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1906
6th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1906
vacant,"? Albert Sq, Melbourne, Australia",vacant,1906
1st of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1907
2nd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1907
3rd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1907
4th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1907
5th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1907
6th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1907
Lim Wing,"? Albert Sq, Melbourne, Australia",[no data],1907
1st of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1908
2nd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1908
3rd of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1908
4th of 6 'houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1908
5th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1908
6th of '6 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1908
Lim Wing,"? Albert Sq, Melbourne, Australia",[no data],1908
1st of '7 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1909
2nd of '7 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1909
3rd of '7 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1909
4th of '7 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1909
5th of '7 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1909
6th of '7 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1909
7th of '7 houses occupied by Chinese',"? Albert Sq, Melbourne, Australia",[no data],1909
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1900
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1901
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1902
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1903
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1904
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1905
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1906
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1907
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1908
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1909
Salvation Army mission hall,"1 Albert Sq, Melbourne, Australia",[no data],1910
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1911
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1912
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1913
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1914
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1915
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1916
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1917
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1918
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1919
Salvation Army Mission Hall,"1 Albert Sq, Melbourne, Australia",[no data],1920
Sang Lee,"2 Albert Sq, Melbourne, Australia",cabinetmaker,1900
Sang Lee,"2 Albert Sq, Melbourne, Australia",cabinetmaker,1901
Sang Lee,"2 Albert Sq, Melbourne, Australia",cabinetmaker,1902
[no data],"- Brien La, Melbourne, Australia",[no data],1940
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1900
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1901
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1902
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1903
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1904
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1905
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1906
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1907
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1908
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1909
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1910
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1911
Gospel mission hall,"1 Brien La, Melbourne, Australia",[no data],1912
Gospel Mission Hall,"1 Brien La, Melbourne, Australia",[no data],1913
Gospel Mission Hall,"1 Brien La, Melbourne, Australia",[no data],1914
Gospel Mission Hall,"1 Brien La, Melbourne, Australia",[no data],1915
Gospel Mission Hall,"1 Brien La, Melbourne, Australia",[no data],1916
Gospel Mission Hall,"1 Brien La, Melbourne, Australia",[no data],1917
"Gospel Mission Hall - House, H., crtkr","1 Brien La, Melbourne, Australia",[no data],1918
"Gospel Mission Hall - House, H., crtkr","1 Brien La, Melbourne, Australia",[no data],1919
"Gospel Mission Hall - Ehrlich, Menachem J., caretaker","1 Brien La, Melbourne, Australia",[no data],1920
"One house, Chinese occupant","2 Brien La, Melbourne, Australia",[no data],1900
Su Ye,"2 Brien La, Melbourne, Australia",[no data],1901
Su Ye,"2 Brien La, Melbourne, Australia",[no data],1902
Su Ye,"2 Brien La, Melbourne, Australia",[no data],1903
Su Ye,"2 Brien La, Melbourne, Australia",[no data],1904
Allen & Wilson,"2 Brien La, Melbourne, Australia",sanitary plumbers,1905
Allen & Wilson,"2 Brien La, Melbourne, Australia",sanitary plumbers,1906
Allen & Wilson,"2 Brien La, Melbourne, Australia",sanitary plumbers,1907
Allen & Wilson,"2 Brien La, Melbourne, Australia",sanitary plumbers,1908
Ah Chew,"3 Brien La, Melbourne, Australia",[no data],1902
Allen & Wilson,"3 Brien La, Melbourne, Australia",plumbers,1903
vacant,"3 Brien La, Melbourne, Australia",vacant,1904
Allen & Wilson,"4 Brien La, Melbourne, Australia",plumbers,1902
[no data],"- Bulleen's La, Melbourne, Australia",[no data],1940
1st of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
2nd of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
3rd of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
4th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
5th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
6th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
7th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
8th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
9th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1900
1st of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
2nd of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
3rd of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
4th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
5th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
6th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
7th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
8th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
9th of '9 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1901
1st of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
2nd of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
3rd of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
4th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
5th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
6th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
7th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
8th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
9th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
10th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
11th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1902
1st of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
2nd of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
3rd of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
4th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
5th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
6th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
7th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
8th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
9th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
10th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
11th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1903
1st of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
2nd of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
3rd of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
4th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
5th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
6th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
7th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
8th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
9th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
10th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
11th of '11 houses occupied by Chinamen',"? Celestial Av, Melbourne, Australia",[no data],1904
1st of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
2nd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
3rd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
4th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
5th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
6th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
7th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
8th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
9th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1905
1st of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
2nd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
3rd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
4th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
5th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
6th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
7th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
8th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
9th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1906
1st of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
2nd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
3rd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
4th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
5th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
6th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
7th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
8th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
9th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1907
1st of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
2nd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
3rd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
4th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
5th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
6th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
7th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
8th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
9th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1908
1st of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
2nd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
3rd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
4th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
5th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
6th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
7th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
8th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
9th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1909
1st of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
2nd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
3rd of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
4th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
5th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
6th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
7th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
8th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
9th of '9 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1910
1st of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1913
2nd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1913
3rd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1913
4th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1913
5th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1913
6th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1913
1st of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1914
2nd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1914
3rd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1914
4th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1914
5th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1914
6th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1914
1st of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1915
2nd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1915
3rd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1915
4th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1915
5th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1915
6th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1915
1st of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1916
2nd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1916
3rd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1916
4th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1916
5th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1916
6th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1916
1st of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1917
2nd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1917
3rd of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1917
4th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1917
5th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1917
6th of '6 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1917
1st of '4 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1920
2nd of '4 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1920
3rd of '4 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1920
4th of '4 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1920
1st of '4 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1920
2nd of '4 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1920
3rd of '4 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1920
4th of '4 houses occupied by Chinese',"? Celestial Av, Melbourne, Australia",[no data],1920
1st of '6 houses occupied by Chinese',"1 Celestial Av, Melbourne, Australia",[no data],1911
1st of '6 houses occupied by Chinese',"1 Celestial Av, Melbourne, Australia",[no data],1912
2nd of '6 houses occupied by Chinese',"2 Celestial Av, Melbourne, Australia",[no data],1911
2nd of '6 houses occupied by Chinese',"2 Celestial Av, Melbourne, Australia",[no data],1912
3rd of '6 houses occupied by Chinese',"3 Celestial Av, Melbourne, Australia",[no data],1911
3rd of '6 houses occupied by Chinese',"3 Celestial Av, Melbourne, Australia",[no data],1912
4th of '6 houses occupied by Chinese',"4 Celestial Av, Melbourne, Australia",[no data],1911
4th of '6 houses occupied by Chinese',"4 Celestial Av, Melbourne, Australia",[no data],1912
5th of '6 houses occupied by Chinese',"5 Celestial Av, Melbourne, Australia",[no data],1911
5th of '6 houses occupied by Chinese',"5 Celestial Av, Melbourne, Australia",[no data],1912
6th of '6 houses occupied by Chinese',"6 Celestial Av, Melbourne, Australia",[no data],1911
6th of '6 houses occupied by Chinese',"6 Celestial Av, Melbourne, Australia",[no data],1912
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1905
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1906
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1907
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1908
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1909
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1910
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1911
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1912
Ming Hing,"15 Celestial Av, Melbourne, Australia",restaurant,1913
Suey Gee Chon,"15 Celestial Av, Melbourne, Australia",herbalist,1914
Suey Gee Chong,"15 Celestial Av, Melbourne, Australia",herbalist,1915
